"title";"alias";"introtext";"catid";"created";"published";"featured"
"Первая победа в сезоне: «Ислочь» 0:1 «Динамо-Брест»";"pervaya-pobeda-v-sezone-isloch-0-1-dinamo-brest";"<p>Первая победа в сезоне: «Ислочь» 0:1 «Динамо-Брест»</p>
";"15";"2026-04-09 19:44:00";"1";"1"
"Дубль «Динамо-Брест» с поражения стартовал в сезоне-2026";"dubl-dinamo-brest-s-porazheniya-startoval-v-sezone-2026";"<p>Дубль «Динамо-Брест» с поражения стартовал в сезоне-2026</p>
";"6";"2026-04-06 13:43:26";"1";"0"
"Успешное начало сезона для женской команды «Динамо-Брест»";"uspeshnoe-nachalo-sezona-dlya-zhenskoj-komandy-dinamo-brest";"<p>Успешное начало сезона для женской команды «Динамо-Брест»</p>
";"23";"2026-04-04 16:22:36";"1";"1"
"Четвертое поражение подряд: «Динамо-Брест» 0:2 «Торпедо-БелАЗ»";"chetvertoe-porazhenie-podryad-dinamo-brest-0-2-torpedo-belaz";"<p>Четвертое поражение подряд: «Динамо-Брест» 0:2 «Торпедо-БелАЗ»</p>
";"15";"2026-04-03 19:08:03";"1";"1"
"Голы Корцова и Юзепчука принесли «Динамо-Брест» победу над «Волной»";"goly-kortsova-i-yuzepchuka-prinesli-dinamo-brest-pobedu-nad-volnoj";"<p>Голы Корцова и Юзепчука принесли «Динамо-Брест» победу над «Волной»</p>
";"19";"2026-03-28 12:35:06";"1";"1"
"Николай Приступа получил лицензию УЕФА категории «B»";"nikolaj-pristupa-poluchil-litsenziyu-uefa-kategorii-b";"<p>Николай Приступа получил лицензию УЕФА категории «B»</p>
";"14";"2026-03-27 09:38:17";"1";"0"
"Артём Быков покинул «Динамо-Брест»";"artjom-bykov-pokinul-dinamo-brest";"<p>Артём Быков покинул «Динамо-Брест»</p>
";"18";"2026-03-26 16:15:49";"1";"0"
"«Динамо-Брест» – «Торпедо-БелАЗ»: билеты в продаже";"dinamo-brest-torpedo-belaz-bilety-v-prodazhe";"<p>«Динамо-Брест» – «Торпедо-БелАЗ»: билеты в продаже</p>
";"11";"2026-03-24 08:09:19";"1";"0"
"Поражение на старте высшей лиги: «Белшина» 1:0 «Динамо-Брест»";"porazhenie-na-starte-vysshej-ligi-belshina-1-0-dinamo-brest";"<p>Поражение на старте высшей лиги: «Белшина» 1:0 «Динамо-Брест»</p>
";"15";"2026-03-22 14:59:51";"1";"1"
"«Динамо-Брест» завершает выступление в Кубке Беларуси";"dinamo-brest-zavershaet-vystuplenie-v-kubke-belarusi";"<p>«Динамо-Брест» завершает выступление в Кубке Беларуси</p>
";"20";"2026-03-15 14:52:34";"1";"1"
"Седнёв подвёл итоги кубковой игры с «МЛ Витебск»";"sednjov-podvjol-itogi-kubkovoj-igry-s-ml-vitebsk";"<p>Седнёв подвёл итоги кубковой игры с «МЛ Витебск»</p>
";"16";"2026-03-08 19:04:08";"1";"1"
"Сезон стартовал: «Динамо-Брест» 0:2 «МЛ Витебск»";"sezon-startoval-dinamo-brest-0-2-ml-vitebsk";"<p>Сезон стартовал: «Динамо-Брест» 0:2 «МЛ Витебск»</p>
";"20";"2026-03-08 16:37:42";"1";"1"
"Финал FONBET Winter Cup 2026: прямая трансляция";"final-fonbet-winter-cup-2026-pryamaya-translyatsiya";"<p>Финал FONBET Winter Cup 2026: прямая трансляция</p>
";"17";"2026-02-15 07:10:44";"1";"0"
"«Динамо-Брест» и «Торпедо-БелАЗ» в финале: итоги группового этапа Winter Cup";"dinamo-brest-i-torpedo-belaz-v-finale-itogi-gruppovogo-etapa-winter-cup";"<p>«Динамо-Брест» и «Торпедо-БелАЗ» в финале: итоги группового этапа Winter Cup</p>
";"17";"2026-02-13 19:25:13";"1";"0"
"Камбэк «Динамо-Брест» со счёта 0:3 и другие итоги второго дня FONBET Winter Cup 2026";"kambek-dinamo-brest-so-schjota-0-3-i-drugie-itogi-vtorogo-dnya-fonbet-winter-cup-2026";"<p>Камбэк «Динамо-Брест» со счёта 0:3 и другие итоги второго дня FONBET Winter Cup 2026</p>
";"17";"2026-02-11 20:21:03";"1";"0"
"Второй день FONBET Winter Cup 2026: трансляция матчей";"vtoroj-den-fonbet-winter-cup-2026-translyatsiya-matchej";"<p>Второй день FONBET Winter Cup 2026: трансляция матчей</p>
";"17";"2026-02-10 21:35:50";"1";"0"
"Итоги первого дня FONBET Winter Cup 2026: ничья «Динамо-Брест», разгром от «Торпедо-БелАЗ»";"itogi-pervogo-dnya-fonbet-winter-cup-2026-nichya-dinamo-brest-razgrom-ot-torpedo-belaz";"<p>Итоги первого дня FONBET Winter Cup 2026: ничья «Динамо-Брест», разгром от «Торпедо-БелАЗ»</p>
";"17";"2026-02-09 20:31:58";"1";"0"
"Первый день FONBET Winter Cup 2026: прямая трансляция";"pervyj-den-fonbet-winter-cup-2026-pryamaya-translyatsiya";"<p>Первый день FONBET Winter Cup 2026: прямая трансляция</p>
";"17";"2026-02-08 23:29:38";"1";"0"
"Полное расписание FONBET Winter Cup 2026";"polnoe-raspisanie-fonbet-winter-cup-2026";"<p>Полное расписание FONBET Winter Cup 2026</p>
";"17";"2026-02-03 12:33:44";"1";"0"
"Абонементная программа «Динамо-Брест» на сезон-2026: где и как купить абонемент?";"abonementnaya-programma-dinamo-brest-na-sezon-2026-gde-i-kak-kupit-abonement";"<p>Абонементная программа «Динамо-Брест» на сезон-2026: где и как купить абонемент?</p>
";"11";"2026-02-03 09:25:54";"1";"1"
"Седнёв: «Приучаем игроков к скоростному футболу»";"sednjov-priuchaem-igrokov-k-skorostnomu-futbolu";"<p>Седнёв: «Приучаем игроков к скоростному футболу»</p>
";"16";"2026-02-01 16:57:02";"1";"1"
"Первая победа межсезонья: «Динамо-Брест» 3:1 «Гомель»";"pervaya-pobeda-mezhsezonya-dinamo-brest-3-1-gomel";"<p>Первая победа межсезонья: «Динамо-Брест» 3:1 «Гомель»</p>
";"19";"2026-02-01 15:31:07";"1";"1"
"«Динамо-Брест» – «Гомель»: прямая трансляция товарищеского матча 1 февраля";"dinamo-brest-gomel-pryamaya-translyatsiya-tovarishcheskogo-matcha-1-fevralya";"<p>«Динамо-Брест» – «Гомель»: прямая трансляция товарищеского матча 1 февраля</p>
";"19";"2026-02-01 07:17:12";"1";"0"
"Дубль «Динамо-Брест» начал предсезонку с гостевой ничьи против «Немана-2»";"dubl-dinamo-brest-nachal-predsezonku-s-gostevoj-nichi-protiv-nemana-2";"<p>Дубль «Динамо-Брест» начал предсезонку с гостевой ничьи против «Немана-2»</p>
";"6";"2026-01-24 13:53:02";"1";"1"
"Поражение в первом спарринге межсезонья-2026: «Неман» 4:0 «Динамо-Брест»";"porazhenie-v-pervom-sparringe-mezhsezonya-2026-neman-4-0-dinamo-brest";"<p>Поражение в первом спарринге межсезонья-2026: «Неман» 4:0 «Динамо-Брест»</p>
";"19";"2026-01-24 16:28:39";"1";"1"
"Традиционный зимний турнир пройдет в Бресте 9-15 февраля";"fonbet-winter-cup-2026-projdet-v-breste-9-15-fevralya";"<p>FONBET Winter Cup 2026 пройдет в Бресте 9-15 февраля</p>
";"17";"2026-01-29 07:32:28";"1";"1"
"Прямая трансляция матча «Неман» – «Динамо-Брест» 24 января";"pryamaya-translyatsiya-matcha-neman-dinamo-brest-24-yanvarya";"<p>Прямая трансляция матча «Неман» – «Динамо-Брест» 24 января</p>
";"19";"2026-01-24 06:31:52";"1";"0"
